SKU,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
11333,304.0,359.99
11334,329.0,339.0
11335,304.0,315.0
11336,334.0,364.99
11337,334.0,364.99
11338,156.0,278.0
11340,949.0,3500.0
11342,349.0,499.0
11343,228.0,289.99
11344,95.0,115.0
11345,626.0,699.99
11346,499.97,1099.0
11347,158.0,1200.0
11348,255.0,325.55
11349,239.0,249.0
11350,225.0,232.89
11351,449.98,475.0
11352,320.0,411.0
11353,349.95,375.0
11354,325.0,390.0
11355,390.0,390.0
11356,250.0,259.99
11357,383.0,385.0
11358,499.0,650.0
11359,119.0,127.0
11360,139.0,140.0
11361,79.99,127.0
11362,132.0,175.0
11363,96.95,129.94
11364,120.0,139.0
11365,425.0,475.0
11366,425.0,475.0
11367,350.0,443.0
11368,395.0,455.0
11369,435.0,450.0
11370,509.0,525.0
11371,873.0,875.0
11372,899.0,1050.0
11373,398.0,479.0
11374,59.0,65.0
11376,295.0,304.0
11377,185.0,199.0
11378,180.0,215.0
11379,119.99,162.0
11380,158.0,200.0
11381,120.0,125.0
11382,210.0,217.0
11383,312.0,315.0
11384,150.0,218.0
11385,540.0,599.0
11386,125.0,269.98
11388,260.0,297.0
11389,316.0,354.0
11390,189.0,194.99
11391,189.0,194.99
11392,199.0,239.0
11393,159.0,179.95
11394,165.0,169.0
11395,285.0,311.0
11397,171.0,219.99
11398,195761.0,206947.0
11399,189.98,190.0
11400,215.0,215.0
11401,108.95,109.0
11402,162.0,175.0
11403,209.0,209.0
11404,130.0,155.0
11405,269.94,275.0
11406,225.0,228.0
11407,114.98,119.0
11408,163.89,245.0
11409,219.0,228.0
11410,206.0,209.0
11411,129.0,129.0
11412,135.0,140.0
11413,195.0,195.0
11414,45.0,69.0
11415,234.0,245.0
